1	 630	9
1	 630	45
1	 745	9
1	 854	45
1	1000	9
1	1015	45
1	1135	9
1	1140	45
1	1320	9
1	1433	45
1	1605	9
1	1643	45
2	632	45
2	856	45
2	1017	45
2	1142	45
2	1435	45
2	1645	45
3	633	45
3	857	45
3	1018	45
3	1143	45
3	1436	45
3	1646	45
4	635	45
4	858	45
4	1019	45
4	1144	45
4	1437	45
4	1647	45
5	636	45
5	900	45
5	1021	45
5	1146	45
5	1439	45
5	1649	45
6	637	45
6	902	45
6	1023	45
6	1148	45
6	1441	45
6	1651	45
7	638	45
7	904	45
7	1025	45
7	1150	45
7	1443	45
7	1653	45
8	640	45
8	906	45
8	1027	45
8	1152	45
8	1445	45
8	1655	45
9	641	45
9	907	45
9	1028	45
9	1153	45
9	1446	45
9	1656	45
10	642	45
10	650	9
10	805	9
10	909	45
10	1020	9
10	1030	45
10	1155	9
10	1155	45
10	1340	9
10	1448	45
10	1625	9
10	1658	45
11	644	45
11	652	9
11	807	9
11	911	45
11	1022	9
11	1032	45
11	1157	9
11	1157	45
11	1342	9
11	1450	45
11	1627	9
11	1700	45
12	645	45
12	913	45
12	1034	45
12	1159	45
12	1452	45
12	1702	45
13	647	45
13	915	45
13	1036	45
13	1201	45
13	1454	45
13	1704	45
14	649	45
14	917	45
14	1038	45
14	1203	45
14	1456	45
14	1706	45
15	651	45
15	658	9
15	813	9
15	920	45
15	1028	9
15	1041	45
15	1203	9
15	1206	45
15	1348	9
15	1459	45
15	1433	9
15	1709	45
16	653	45
16	659	9
16	814	9
16	922	45
16	1029	9
16	1043	45
16	1204	9
16	1208	45
16	1349	9
16	1501	45
16	1634	9
16	1711	45
17	650	46
17	655	45
17	700	9
17	710	46
17	750	55
17	815	9
17	910	46
17	920	55
17	924	45
17	940	46
17	1030	9
17	1045	45
17	1055	55
17	1040	46
17	1205	9
17	1210	45
17	1230	46
17	1235	55
17	1350	9
17	1435	55
17	1503	45
17	1510	46
17	1600	46
17	1635	9
17	1655	55
17	1713	45
17	1740	46
17	1810	46
17	1840	55
17	1905	45
18	651	46
18	656	45
18	701	9
18	711	46
18	752	55	
18	716	9
18	911	46
18	922	55
18	925	45
18	941	46
18	1031	9
18	1046	45
18	1057	55
18	1141	46
18	1206	9
18	1211	45
18	1231	46
18	1237	55
18	1351	9
18	1437	55
18	1504	45
18	1511	46
18	1601	46
18	1636	9
18	1657	55
18	1714	45
18	1741	46
18	1811	46
18	1842	55
18	1906	45
19	653	46
19	658	46
19	703	9
19	713	46
19	753	55
19	818	9
19	913	46
19	923	55
19	927	45
19	943	46
19	1032	9
19	1048	45
19	4058	55
19	1143	46
19	1207	9
19	1213	45
19	1233	46
19	1238	55
19	1352	9
19	1438	55
19	1506	45
19	1513	46
19	1603	46
19	1637	9
19	1658	55
19	1716	45
19	1743	46
19	1213	46
19	1843	55
19	1908	45
20	655	46
20	700	45
20	715	46
20	754	45
20	915	46
20	924	55
20	929	45
20	945	46
20	1050	45
20	1059	55
20	1145	46
20	1215	45
20	1235	46
20	1239	55
20	1439	55
20	1508	45
20	1515	46
20	1605	46
20	1659	55
20	1718	45
20	1744	46
20	1814	46
20	1844	55
20	1910	45
21	656	46
21	702	45
21	717	46
21	756	55
21	917	46
21	926	55
21	931	45
21	947	46
21	1052	45
21	1101	55
21	1147	46
21	1217	45
21	1237	46
21	1241	55
21	1332	45
21	1441	55
21	1510	45
21	1517	46
21	1607	46
21	1701	55
21	1720	45
21	1746	46
21	1816	46
21	1846	55
21	1912	45
22	658	46
22	704	45
22	719	46
22	758	55
22	919	46
22	929	55
22	933	45
22	949	46
22	1054	45
22	1104	55
22	1149	46
22	1219	45
22	1239	46
22	1244	55
22	1334	45
22	1444	55
22	1512	45
22	1519	46
22	1609	46
22	1704	55
22	1722	45
22	1748	46
22	1818	46
22	1849	55
22	1914	45


	


	
	

